,Who,What,Score
0,Panic! At The Disco,Pretty. Odd.,8.0
1,Rhodes,Live For Burberry,9.1
2,Rhodes,Morning-EP,8.0
3,Rhodes,Turning Back Around,7.5
4,Panic! At The Disco,"Too Weird To Live, Too Rare To Die!",8.9
5,Panic! At The Disco,Death Of A Bachelor,8.1
6,Modern Talking,The Very Best Of,9.0
8,James Vincent McMorrow,We move,8.5
9,MS MR,Secondhand Rapture,8.0
13,Kings of Leon,WALLS,9.0
16,Childish Gambino,"Awaken, My Love!",9.0
17,Speedometer,Downtown Funk 74,8.0
18,The xx,I See You,8.5
19,MØ,No Mythologies to Follow,8.5
20,St. Vincent,St. Vincent,8.0
21,One Direction,Up All Night,7.5
22,Francis and the Lights,"Farewell, Starlite!",8.0
23,Weeknd,Starboy,9.0
26,Ed Sheeran,+,9.0
28,PARTYNEXTDOOR,PARTYNEXTDOOR,7.5
29,Panic! At The Disco,Vices & Virtues,9.1
30,Panic! At The Disco,A Fever You Can't Sweat Out,9.0
31,ANOHNI,HOPELESSNESS,8.5
32,The Black Eyed Peas,Monkey Business,8.5
33,Glass Animals,How To Be A Human Being,8.0
35,Coldplay,A Rush Of Blood To The Head,8.0
36,Coldplay,Parachutes,8.0
37,Coldplay,X & Y,8.0
40,Depeche Mode,Violator,9.0
41,Dean Martin,This Is Dean Martin / Dino - Italian Love Songs,9.0
42, Arcade Fire,Reflektor,8.0
47,San Cisco,San Cisco,8.5
48,Muse,Showbiz,9.0
52,Leon Vynehall,Music For the Uninvited,8.5
53,Muse,The 2nd Law,9.0
54,Muse,Drones,9.0
55,Dire Straits,The Best Of Dire Straits & Mark Knopfler - Private Investigations,8.0
56,Solange,A Seat at the Table,8.5
57,Thundercat,Drunk,8.5
58,Sampha,Process,8.5
59,White Lies,Ritual,8.0
63,Blondie,Parallel Lines,7.5
65,Whitney Houston,The Ultimate Collection,8.0
67,Timbaland,Shock Value Deluxe Version,8.0
69,Matt Wills,Lost And Found - EP,8.0
70,Matt Wills,Hurricane - EP,8.0
71,Matt Wills,Set You Free - EP,9.0
73,Matt Wills,She has no name,8.0
74,Post Malone,Stoney,8.7
75,A Tribe Called Quest,Midnight Marauders,8.0
76,Jamiroquai,Travelling Without Moving,8.0
77,Rhodes,Home - EP,8.0
78,Rhodes,Wishes,9.0
79,The Avalanches,Wildflower,7.5
81,Matt Corby,Telluric,9.0
82,Todd Terje,It's Album Time,8.0
83,Maroon 5,It Won't Be Soon Before Long,8.5
84,Maroon 5,Songs About Jane,8.5
87,Lorde,Pure Heroine,8.7
89,Alex Clare,Tail of Lions,8.0
91,Foals,What Went Down,8.0
92, Broken Bells,After the Disco,7.5
93,Mac DeMarco,Mac DeMarco,8.0
94,Charlie Puth,Nine Track Mind,8.5
95,Meghan Trainor,Title,8.0
96,Shawn Mendes,Handwritten (Revisited),8.0
99,Jason Derulo,Tattoos,8.0
100,Beyoncé,B'Day ,8.0
103,White Lies,BIG TV,8.0
105,Kanye West,Graduation,8.0
106, James Bay,Chaos And The Calm,9.0
107,Valerie June,The Order Of Time,7.5
110,One Republic,Native,7.5
111,One Republic,Dreaming Out Loud,7.5
114,Alex Clare,The Lateness Of The Hour,9.0
115,Alex Clare,Three Hearts,8.5
116, Alicia Keys,HERE,9.0
118,Of Monsters and Men,Beneath The Skin ,7.5
119,Florence + The Machine,Ceremonials,8.1
120,Oddisee,The Iceberg,7.5
121,Oddisee,The Odd Tape,8.5
122,Mark Ronson,Version,8.7
123,Harry Styles,Harry Styles,8.5
124,Pond,Man It Feels Like Space Again,8.7
125,Thomas Azier,Rouge,9.0
126,LP,Lost on You,9.0
127,Mando Diao,Good Times,8.0
129,Dusty Springfield,Dusty In Memphis,8.0
131,Elvis Presley,Loving You,9.0
132,Little Richard,30 Essentials of Little Richard,8.5
133,Lenny Williams,Pray For The Lion,8.0
134,One Direction,Midnight Memories (Deluxe),8.3
135,Snoop Dogg,Neva Left,8.7
136,Frank Ocean,channel ORANGE,9.0
137,Perfume Genius,No Shape,8.5
138,Kendrick Lamar,DAMN.,8.5
141,N Sync,No Strings Attached,7.5
143,Major Lazer,Know No Better,8.0
144,alt-J,RELAXER,9.0
145,Elbow,Little Fictions,8.0
146,Imagine Dragons,Smoke + Mirrors,8.0
149,"Prince, Prince And The Revolution",Purple Rain,9.0
152,Everything Everything,Get To Heaven (Deluxe),7.5
154,Kraftwerk,The Man Machine,9.0
156,Portugal. The Man,Woodstock,8.3
159,Drake,Views,8.0
160,Drake,More Life,8.5
162,Missy Elliott,Under Construction,8.0
165,Take That,Beautiful World,7.8
166,The Kinks,The Singles Collection,8.6
167,Sparks,A Woofer In Tweeter's Clothing,8.5
168,Robbie Williams,Sing When You're Winning,7.6
169,Years & Years,Communion,8.1
170,Depeche Mode,Spirit,8.0
171,Toro Y Moi,Boo Boo,7.8
173,Jean Michel Jarre,Oxygene Trilogy,8.0
174,Bad Boys Blue,Heart Beat,8.0
175,Bad Boys Blue,"Hot Girls, Bad Boys",8.0
176,Alexandra Savior,Belladonna of Sadness,8.3
178,wish you were here,Pink Floyd,8.0
179,Foster The People,Sacred Hearts Club,8.5
180,Lana Del Rey,Lust For Life,9.0
181,"Lafa Taylor, Aabo",Feel,8.8
182,Mr Jukes,God First,7.5
183,Franz Ferdinand,"Right Thoughts, Right Words, Right Action",8.3
185,Declan McKenna,What Do You Think About the Car?,8.0
186,"Tyler, The Creator",Flower Boy,7.5
189,"Scarlett Johansson, Pete Yorn",Break Up,8.0
191,Marvin Gaye,What's Going On,7.5
193,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",8.0
195,Vampire Weekend,Vampire Weekend,8.5
196,Death Cab for Cutie,Plans,9.0
197,The 1975,The 1975,8.1
200,Daft Punk,Discovery,8.6
203, Apollo Brown & Planet Asia,Anchovies,7.5
205,Michael Jackson,Off the Wall,8.0
206,Mayer Hawthorne,Man About Town,7.9
207,Dan Croll,Emerging Adulthood,8.4
209,Mura Masa,Mura Masa,8.6
210,Imagine Dragons,Acoustic EP,7.9
211,Alt-J,An Awesome Wave,9.4
214,Jake Bugg,Hearts That Strain,8.6
215,Arcade Fire,Everything Now,7.9
217,Maroon 5,Singles,7.5
219,Syd,Fin,8.0
220,The Belligerents,Science Fiction,7.9
222,Rex,bcos u will never b free,9.0
224,Kaleo,A/B,9.0
225,Rivulets,I Remember Everything,8.0
226,Rivulets,We're Fucked,7.3
227,Father John Misty,Pure Comedy,7.6
229,Macintosh Plus,Floral Shoppe,8.0
230,SZA,Ctrl,8.0
231,The Killers,Wonderful Wonderful,8.0
234,Macklemore,GEMINI,8.6
236,Harrison Storm,Change It All,7.5
237,Lowland Hum,Thin (B-Sides),7.7
239,Charlotte Cardin,Main Girl EP,8.0
240,Dive Deep,Andrew Belle,8.9
241,Unseen Keys,Waiting,8.5
242,ROSTAM,Half-Light,8.3
244,Xxxtentacion,17,8.1
