,Who,What,Score
7,Daft Punk,Musique,10.0
14,Two Door Cinema Club,Gameshow,9.5
24,Childish Gambino,Because The Internet,10.0
25,Zayn,Mind of Mine,9.5
27,Ed Sheeran,*,10.0
34,Elton John,Tumbleweed Connection,10.0
43,Years & Years,Communion,9.5
44,Adele,25,9.5
46,Amy Winehouse,Back To Black,9.5
49,Muse,Origin Of Symmetry,10.0
50,Muse,Black Holes ans Revelations,10.0
51,Muse,Resistance,9.5
60,Rag'n'Bone Man,Human,9.5
61,Ed Sheeran,Divide,10.0
64,Иван Дорн,Jazzy Funky Dorn,10.0
66,Arctic Monkeys,AM,11.0
68,Bastille,Wild World,10.0
80,Seafret,Tell Me It's Real,9.5
97,Moby,Play,9.5
102,Justin Timberlake,The 20/20 Experience - The Complete Experience,10.0
109,Ivan Dorn,OTD,9.5
112,Anderson .Paak,Malibu,9.5
113,Parov Stelar,The Burning Spider,10.0
128,Aretha Franklin,I Never Loved A Man The Way I Love You,10.0
140,Blossoms,Blossoms,10.0
150,London Grammar,Truth Is a Beautiful Thing,9.5
151,Lorde,Melodrama,9.5
153,Dan Auerbach,Waiting on a Song,10.0
161,Royal Blood,How Did We Get So Dark?,9.8
172,Imagine Dragons,Night Visions,9.5
177,Pink Floyd - Dark Side Of The Moon (Full Album),Pink Floyd,10.0
188,The Beatles,Abbey Road,10.0
202,Mayer Hawthorne,A Strange Arrangement,10.0
204,Mayer Hawthorne,How Do You Do,9.5
208,Albin Lee Meldau,Bloodshot,9.5
212,alt-J,This Is All Yours,10.0
213,alt-J,RELAXER,10.0
216,Nothing But Thieves,Broken Machine,10.0
223,Rex Orange County,Apricot Princess,9.8
235, Niia,I,9.5
249,Kamasi Washingtom,Harmony of Defference EP,9.9
255,Badbadnotgood,IV,9.7
256,Badbadnotgood,III,9.5
264,Rationale,Rationale,9.8
274,St. Vincent,MASSEDUCTION,9.8
