,Who,What,Score
10,Chrome Sparks,Sparks EP,7.0
11,Say Lou Lou,Lucid Dreaming ,6.5
12,Tame Impala,Lonerism,6.0
15,Lady Gaga,Joanne,7.0
38,Police,Synchronicity,6.5
39,Depeche Mode,Speak And Spell,7.0
45,Gregory Porter,Take Me To The Alley,0.0
62,Stella,Works for You,7.0
72,White Lies,Friends,6.0
85,Daniel Shake,Loosen Me Up,7.0
86,Lady Gaga,The Fame Monster ,7.0
88, Ellie Goulding,Lights,6.0
90,Bombay Bicycle Club,"So Long, See You Tomorrow",7.0
98,The War On Drugs,Slave Ambient,7.0
101,The War On Drugs,Lost In The Dream,7.0
104,Kelis,Tasty,7.0
108,Zara Larsson,So Good,7.0
117,Katy Perry,One Of The Boys,7.0
130,Stevie Wonder,Talking Book,7.0
139,Julie Byrne,Not Even Happiness,7.0
142,Lostboycrow,Traveler: The First Legend,5.5
147,Bleachers,Gone Now,7.0
148,The Miseducation of Lauryn Hill,Lauryn Hill,0.0
155,Fleet Foxes,Crack-Up,6.5
157,Jack & Jack,GONE,5.0
158,Drake,if you're reading this its too late,7.0
163,Take That,Nobody Else,7.0
164,Imagine Dragons,Evolve,7.0
184,Blood Cultures,Happy Birthday,4.0
187,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,7.0
190,Michael McDonald,Wide Open,6.5
192,Brockhampton,SATURATION II,7.0
194,Alexander Biggs,Still You Sharpen Your Teeth,7.0
198,Tom Grennan,Found What I've Been Looking For,6.9
199,The Black Keys,Thickfreakness,7.0
201,The Black Keys,Rubber Factory,7.0
218,Unknown Mortal Orchestra,Unknown Mortal Orchestra,6.0
221,Jazmine Sullivan,Reality Show,7.0
228,Bee Gees,Trafalgar,7.0
232,Fergie,Double Dutchess,6.0
233,Tricky,Ununiform,7.0
238,Tim Barry,High on 95,5.9
243,Princess Nokia,1992 Deluxe,5.3
245,Leon Russell,On a Distant Shore,6.0
251,Miley Cyrus,Younger Now,7.0
267,Tony Allen,The Source,0.0
269,dePresno,The Last of the Romantics EP,7.0
