Date,Who,What,Year,Link,Best,Score (1-10),,,,,,
,,,,,,,,,,,,
01/08/2017,alt-J,This Is All Yours,2014,https://music.yandex.ru/album/2265364,,10,,,,,,
02/08/2017,alt-J,RELAXER,2017,https://music.yandex.ru/album/4416697,,10,,,,,,
03/08/2017,Jake Bugg,Hearts That Strain,2017,https://music.yandex.ru/album/4644897,,8.6,,,,,Tesla Boy?,
04/08/2017,Arcade Fire,Everything Now,2017,https://music.yandex.ru/album/4546587,,7.9,,,,,,
05/08/2017,Nothing But Thieves,Broken Machine,2017,https://music.yandex.ru/album/4644266,,10,заслуженная десяточка,,,,,
06/08/2017,Maroon 5,Singles,2016,https://music.yandex.ru/album/3015881,,7.5,,,,,,
07/08/2017,Unknown Mortal Orchestra,Unknown Mortal Orchestra,2011,https://music.yandex.ru/album/719614,,6,,,,,,
08/08/2017,Syd,Fin,2017,https://music.yandex.ru/album/4065119,,8,годно,,,,,
09/08/2017,The Belligerents,Science Fiction,2017,https://music.yandex.ru/album/4631900,,"7,9",разогнались к середине,,,,,
10/08/2017,Jazmine Sullivan,Reality Show,2014,https://music.yandex.ru/album/2427495,,7,,https://music.yandex.ru/album/2918625,,,maybe listen,
11/08/2017,Rex,bcos u will never b free,2015,https://rexorangecounty.bandcamp.com/releases,,9,,,,,,
12/08/2017,Rex Orange County,Apricot Princess,2017,https://www.youtube.com/watch?v=njAqa6C_3CA,,9.8,4seasons,,,,,
13/08/2017,Kaleo,A/B,2016,https://music.yandex.ru/album/3530199,,9,,,,,,
14/08/2017,Rivulets,I Remember Everything,2014,https://music.yandex.ru/album/2142425,,8,"хоть и весь альбом на одной секвенции, все равно душевно",,,,,
15/08/2017,Rivulets,We're Fucked,2011,https://music.yandex.ru/album/1286340,,7.3,,,,,,
16/08/2017,Father John Misty,Pure Comedy,2017,https://music.yandex.ru/album/4237973,,"7,6",,,,,,
17/08/2017,Bee Gees,Trafalgar,1971,https://music.yandex.ru/album/18571,,7,чет совсем скучно :( поздние альбомы поживее будут,,,,,
18/08/2017,Macintosh Plus,Floral Shoppe,2013,https://www.youtube.com/watch?v=YcsYSJwewWk,,8,,,,,,
19/08/2017,SZA,Ctrl,2017,https://music.yandex.ru/album/4444428,,8,,,,,,
20/08/2017,The Killers,Wonderful Wonderful,2017,https://music.yandex.ru/album/4691542,,8,ураураураура,но слушать буду после прочтения почти провального ревью с питчфорка,,,,"блин, реално слабовато"
21/08/2017,Fergie,Double Dutchess,2017,https://music.yandex.ru/album/4635814,,6,,,,,,
22/08/2017,Tricky,Ununiform,2017,https://music.yandex.ru/album/4700951,,7,,,,,,
23/08/2017,Macklemore,GEMINI,2017,https://music.yandex.ru/album/4635490,,8.6,"нормас зашло, музыкальное наполнение огонь, в слова не вслушивалась",,,,,
24/08/2017, Niia,I,2017,https://music.yandex.ru/album/4338979,ctqfc,9.5,very very good,,,,,
25/08/2017,Harrison Storm,Change It All,2017,https://music.yandex.ru/album/4667265,,7.5,"коротенько, грустенько, но потенциал есть!",,,,,
26/08/2017,Lowland Hum,Thin (B-Sides),2017,https://music.yandex.ru/album/4653375,,"7,7",,,,,,
27/08/2017,Tim Barry,High on 95,2017,https://music.yandex.ru/album/4623945,,"5,9",набожное кантри!,,,,,
28/08/2017,Charlotte Cardin,Main Girl EP,2017,https://music.yandex.ru/album/4650757,,8,очень неплохо,,,,,
29/08/2017,Dive Deep,Andrew Belle,2017,https://music.yandex.ru/album/4455330,,"8,9","привет, новый продакшн",,он стал звучать моднее и стильнее,,новая огранка,лойсы за смелость
30/08/2017,Unseen Keys,Waiting,2017,https://music.yandex.ru/album/4646499,,8.5,очень даже неплохо,,реально,"\+0,5 за credits",,
31/08/2017,ROSTAM,Half-Light,2017,https://music.yandex.ru/album/4667263,,8.3,намешааал,,,,,
