Date,,Who,,What,,Year,,Link,,Best,Score (1-10),
,,,,,,,,,,,,
01/02/2017,,ANOHNI,,HOPELESSNESS,,2016,,https://music.yandex.ru/album/3456819,,"Drone Bomb Me, 4 degrees","8,5",
02/02/2017,,The Black Eyed Peas,,Monkey Business,,2005,,https://music.yandex.ru/album/2078802,,,8.5,
03/02/2017,,Glass Animals,,How To Be A Human Being,,2016,,https://music.yandex.ru/album/3741429,,,8,
04/02/2017,,Elton John,,Tumbleweed Connection,,,,,,,10,
05/05/2017,,Coldplay,,A Rush Of Blood To The Head,,2002,,https://music.yandex.ru/album/34291,,,8,
06/02/2017,,Coldplay,,Parachutes,,,,,,,8,
07/02/2017,,Coldplay,,X & Y,,,,,,,8,
08/02/2017,,Police,,Synchronicity,,1983,,https://music.yandex.ru/album/2345,,,6.5,
09/02/2017,,Depeche Mode,,Speak And Spell,,1981,,https://music.yandex.ru/album/1776320,,,7,
10/02/2017,,Depeche Mode,,Violator,,1990,,https://music.yandex.ru/album/46844,,,9,
11/02/2017,,Dean Martin,,This Is Dean Martin / Dino - Italian Love Songs,,,,https://music.yandex.ru/album/3800817,,,9,
12/02/2017,, Arcade Fire,,Reflektor,,2015,,https://music.yandex.ru/album/2977402,,,8,
13/02/2017,,Years & Years,,Communion,,2016,,https://music.yandex.ru/album/3312521,,,9.5,
14/02/2017,,Adele,,25,,2016,,https://music.yandex.ru/album/3579166,,,9.5,
15/02/2017,,Gregory Porter,,Take Me To The Alley,,2016,,https://music.yandex.ru/album/3465747,,,0,не осилила до конца
16/02/2017,,Amy Winehouse,,Back To Black,,2006,,https://music.yandex.ru/album/1606252,,,"9,5",
17/02/2017,,San Cisco,,San Cisco,,2012,,https://music.yandex.ru/album/1772128,,,8.5,
18/02/2017,,Muse,,Showbiz,,1999,,https://music.yandex.ru/album/50215,,,9,
19/02/2017,,Muse,,Origin Of Symmetry,,2001,,https://music.yandex.ru/album/288156,,,10,
20/02/2017,,Muse,,Black Holes ans Revelations,,2006,,https://music.yandex.ru/album/50202,,,10,
21/02/2017,,Muse,,Resistance,,2009,,https://music.yandex.ru/album/49799,,,9.5,
22/02/2017,,Leon Vynehall,,Music For the Uninvited,,2014,,https://www.youtube.com/watch?v=WwVCSVmSNgs,,,"8,5",
23/02/2017,,Muse,,The 2nd Law,,2012,,https://music.yandex.ru/album/587991,,,9,
24/02/2017,,Muse,,Drones,,2015,,https://music.yandex.ru/album/2812007,,,9,
25/02/2017,,Dire Straits,,The Best Of Dire Straits & Mark Knopfler - Private Investigations,,2005,,https://music.yandex.ru/album/2501088,,,8,
26/02/2017,,Solange,,A Seat at the Table,,2016,,https://music.yandex.ru/album/3806242,,,"8,5",
27/02/2017,,Thundercat,,Drunk,,2017,,https://vk.com/audios-9812639?album_id=83591004,,,"8,5",
28/02/2017,,Sampha,,Process,,2016,,https://music.yandex.ru/album/4062522,,,"8,5",
