Date,,Who,,What,,Year,,Link,,Best,,Worst,,Score (1-10)
01/01/2017,,Panic! At The Disco,,Pretty. Odd.,,2008,,https://music.yandex.ru/album/53485,,,,,,8
02/01/2017,,Rhodes,,Live For Burberry,,2015,,https://music.yandex.ru/album/2818344,,,,,,9.1
03/01/2017,,Rhodes,,Morning-EP,,2015,,https://music.yandex.ru/album/2659118,,,,,,8
04/01/2017,,Rhodes,,Turning Back Around,,2015,,https://music.yandex.ru/album/2672737,,,,,,7.5
05/01/2017,,Panic! At The Disco,,"Too Weird To Live, Too Rare To Die!",,2013,,https://music.yandex.ru/album/1593740,,,,,,8.9
06/01/2017,,Panic! At The Disco,,Death Of A Bachelor,,2016,,https://music.yandex.ru/album/3179720,,,,,,8.1
07/01/2017,,Modern Talking,,The Very Best Of,,2011,,https://music.yandex.ru/album/218012/,,,,,,9
08/01/2017,,Daft Punk,,Musique,,2006,,https://music.yandex.ru/album/169252,,Around The Wolrd,,,,10
09/01/2017,,James Vincent McMorrow,,We move,,2016,,https://music.yandex.ru/album/3566939,,"Killer Whales, One Thousand Times, Surreal",,,,8.5
10/01/2017,,MS MR,,Secondhand Rapture,,2013,,https://music.yandex.ru/album/1767614,,"Think Of You, Fantasy, No Trace",,,,8
11/01/2017,,Chrome Sparks,,Sparks EP,,2013,,https://music.yandex.ru/album/1567561,,Marijuana,,,,7
12/01/2017,,Say Lou Lou,,Lucid Dreaming ,,2015,,https://music.yandex.ru/album/2491671,,Julien,,,,"6,5"
13/01/2017,,Tame Impala,,Lonerism,,2012,,https://music.yandex.ru/album/583795,,,,,,6
14/01/2017,,Kings of Leon,,WALLS,,2016,,https://music.yandex.ru/album/3802998,,Reverend,,,,9
15/01/2017,,Two Door Cinema Club,,Gameshow,,2016,,https://music.yandex.ru/album/3848524,,"Fever, Ordinary",,No,,9.5
16/01/2017,,Lady Gaga,,Joanne,,2016,,https://music.yandex.ru/album/3869481,,Angel Down,,,,7
17/01/2017,,Childish Gambino,,"Awaken, My Love!",,2016,,https://music.yandex.ru/album/3958935,,"Redbone, Me and Your Mama",,,,9
18/01/2017,,Speedometer,,Downtown Funk 74,,2016,,https://music.yandex.ru/album/3984729,,-,,,,8
19/01/2017,,The xx,,I See You,,2017,,https://music.yandex.ru/album/4018329,,"Replica,  A Violent Noise, Perfomance",,,,8.5
20/01/2017,,MØ,,No Mythologies to Follow,,2014,,https://music.yandex.ru/album/1923290,,"Fire Rides, Slow Love",,,,8.5
21/01/2017,,St. Vincent,,St. Vincent,,2015,,https://music.yandex.ru/album/2490278,,Digital Witness,,,,8
22/01/2017,,One Direction,,Up All Night,,2011,,https://music.yandex.ru/album/523221,,"What Makes You Beautiful, Stole My Heart",,,,7.5
23/01/2017,,Francis and the Lights,,"Farewell, Starlite!",,2016,,https://music.yandex.ru/album/3804589,,"See Her Out, Can't Stay Party",,,,8
24/01/2017,,Weeknd,,Starboy,,2016,,https://music.yandex.ru/album/3952720,,,,,,9
25/01/2017,,Childish Gambino,,Because The Internet,,2013,,https://music.yandex.ru/album/1718398,,,,,,10
26/01/2017,,Zayn,,Mind of Mine,,2016,,https://music.yandex.ru/album/3373308,,"It's you, Rear View, Be For U",,,,"9,5"
27/01/2017,,Ed Sheeran,,+,,2011,,https://music.yandex.ru/album/762130,,,,,,9
28/01/2017,,Ed Sheeran,,*,,2014,,https://music.yandex.ru/album/3066903,,,,,,10
29/01/2017,,PARTYNEXTDOOR,,PARTYNEXTDOOR,,2013,,https://music.yandex.ru/album/1342512,,Break From Toronto,,,,"7,5"
30/01/2017,,Panic! At The Disco,,Vices & Virtues,,2011,,https://music.yandex.ru/album/218478,,,,,,9.1
31/01/2017,,Panic! At The Disco,,A Fever You Can't Sweat Out,,2005,,https://music.yandex.ru/album/175817,,,,,,9
