Date,Who,What,Year,Link,Best,Score (1-10),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2017,"Lafa Taylor, Aabo",Feel,2017,https://music.yandex.ru/album/4561961,,8.8,,,,,,,,,,,,,,,,,,,/
02/07/2017,Mr Jukes,God First,2017,https://music.yandex.ru/album/4528062,,7.5,,,,,,,,,,,,,,,,,,,
03/07/2017,Franz Ferdinand,"Right Thoughts, Right Words, Right Action",2013,https://music.yandex.ru/album/1581810,,8.3,,,,,,,,,,,,,,,,,,,
04/07/2017,Blood Cultures,Happy Birthday,2017,https://music.yandex.ru/album/4460227,,4,не дослушала до конца,,,https://music.yandex.ru/album/4546584,,,,,,,,,,,,,,,
05/07/2017,Declan McKenna,What Do You Think About the Car?,2017,https://music.yandex.ru/album/4513507,,8,,,,https://music.yandex.ru/album/4547496,,,,,,,,,,,,,,,
06/07/2017,"Tyler, The Creator",Flower Boy,2017,https://music.yandex.ru/album/4547491,,7.5,,,,https://music.yandex.ru/album/4513534,,,,,,,,,,,,,,,
07/07/2017,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,1967,https://music.yandex.ru/album/3277245,,7,,,,https://music.yandex.ru/album/4556658,,,,,,,,,,,,,,,
08/07/2017,The Beatles,Abbey Road,1969,https://music.yandex.ru/album/3277250/,,10,exсellent,,,,,,,,,,,,,,,,,,
09/07/2017,"Scarlett Johansson, Pete Yorn",Break Up,2009,https://music.yandex.ru/album/2252508,,8,мужик хорош,,,,,,,,,,,,,,,,,,
10/07/2017,Michael McDonald,Wide Open,2017,https://music.yandex.ru/album/4645377,,6.5,"красиво, но чет совсем скучно",,,,,,,,,,,,,,,,,,
11/07/2017,Marvin Gaye,What's Going On,1971,https://music.yandex.ru/album/2505512,,7.5,,,,,,,,,,,,,,,,,,,
12/07/2017,Brockhampton,SATURATION II,2017,https://music.yandex.ru/album/4634492,,7,,,,,,,,,,,,,,,,,,,
13/07/2017,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",2006,https://www.youtube.com/watch?v=vw24LL7p8a4,,8,,,,https://music.yandex.ru/track/36321684,,,,,,,,,,,,,,,
14/07/2017,Alexander Biggs,Still You Sharpen Your Teeth,2017,https://music.yandex.ru/album/4569603,,7,,,,,,,,,,,,,,,,,,,
15/07/2017,Vampire Weekend,Vampire Weekend,2007,https://music.yandex.ru/album/709320,,8.5,,,,,,,,,,,,,,,,,,,
16/07/2017,Death Cab for Cutie,Plans,2005,https://music.yandex.ru/album/42721,,9,тааааааак мило,,,,,,,,,,,,,,,,,,
17/07/2017,The 1975,The 1975,2013,https://music.yandex.ru/album/3243800,,"8,1",он какой-то капец большой,,,,,,,,,,,,,,,,,,
18/07/2017,Tom Grennan,Found What I've Been Looking For,2017,https://music.yandex.ru/album/4553490,,6.9,,,,,,,,,,,,,,,,,,,
19/07/2017,The Black Keys,Thickfreakness,2003,https://music.yandex.ru/album/404825,,7,,,,,,,,,,,,,,,,,,,
20/07/2017,Daft Punk,Discovery,2001,https://music.yandex.ru/album/35654,,8.6,,,,,,,,,,,,,,,,,,,
21/07/2017,The Black Keys,Rubber Factory,2004,https://music.yandex.ru/album/404917,,7,,,,,,,,,,,,,,,,,,,
22/07/2017,Mayer Hawthorne,A Strange Arrangement,2009,https://music.yandex.ru/album/30078,,10,,,,,,,,,,,,,,,,,,,
23/07/2017, Apollo Brown & Planet Asia,Anchovies,2017,https://music.yandex.ru/album/4492150,,"7,5",,,,,,,,,,,,,,,,,,,
24/07/2017,Mayer Hawthorne,How Do You Do,2011,https://music.yandex.ru/album/2486723,,"9,5",,,,,,,,,,,,,,,,,,,
25/07/2017,Michael Jackson,Off the Wall,1979,https://music.yandex.ru/album/495281,,8,,,,,,,,,,,,,,,,,,,
26/07/2017,Mayer Hawthorne,Man About Town,2016,https://music.yandex.ru/album/3402118,,"7,9",,,,,,,,,,,,,,,,,,,
27/07/2017,Dan Croll,Emerging Adulthood,2017,https://music.yandex.ru/album/4548605,,"8,4","он подросток, интересно?",,такое прямо все яркое,,,,,,,,,,,,,,,,
28/07/2017,Albin Lee Meldau,Bloodshot,2017,https://music.yandex.ru/album/4548622,,9.5,,,,,,,,,,,,,,,,,,,
29/07/2017,Mura Masa,Mura Masa,2017,VK,,8.6,,,,,,,,,,,,,,,,,,,
30/07/2017,Imagine Dragons,Acoustic EP,2017,VK,,7.9,,,,,,,,,,,,,,,,,,,
31/07/2017,Alt-J,An Awesome Wave,2012,https://music.yandex.ru/album/592680,,9.4,awesommme,,,,,,,,,,,,,,,,,,
