Date,,Who,,What,,Year,,Link,,Best,Score (1-10),
,,,,,,,,,,,,
01/03/2017,,White Lies,,Ritual,,2011,,https://music.yandex.ru/album/204514,,"Peace & Quiet, Bad Love, Come Down",8,
02/03/2017,,Rag'n'Bone Man,,Human,,2017,,https://music.yandex.ru/album/4088112,,"Skin, As You Are","9,5",
03/03/2017,,Ed Sheeran,,Divide,,2017,,https://vk.com/audios-36648726?album_id=83773222,,"Dive, Perfect, What Do I Know, Save Myself",10,
04/03/2017,,Stella,,Works for You,,2017,,https://music.yandex.ru/album/4019845,,,7,
05/03/2017,,Blondie,,Parallel Lines,,1978,,https://music.yandex.ru/album/31318,,,7.5,
06/03/2017,,Иван Дорн,,Jazzy Funky Dorn,,2017,,https://music.yandex.ru/album/4078852,,Без мато,10,
07/03/2017,,Whitney Houston,,The Ultimate Collection,,2007,,https://music.yandex.ru/album/73628,,,8,
08/03/2017,,Arctic Monkeys,,AM,,2013,,https://music.yandex.ru/album/1581808,,Все,11,переслушиваю снова и снова
09/03/2017,,Timbaland,,Shock Value Deluxe Version,,2007,,https://music.yandex.ru/album/5777,,,8,
10/03/2017,,Bastille,,Wild World,,2016,,https://music.yandex.ru/album/3766068,,Good Grief,10,
11/03/2017,,Matt Wills,,Lost And Found - EP,,2015,,https://music.yandex.ru/album/3072096,,,8,
12/03/2017,,Matt Wills,,Hurricane - EP,,2016,,https://music.yandex.ru/album/3741430,,,8,
13/03/2017,,Matt Wills,,Set You Free - EP,,2017,,https://music.yandex.ru/album/3963824,,,9,
14/03/2017,,White Lies,,Friends,,2016,,https://www.youtube.com/watch?v=z-9NAO4Ope8,,,6,
15/03/2017,,Matt Wills,,She has no name,,2014,,https://soundcloud.com/mattwillsmusic/sets/matt-wills-aeroplanes-ep,,,8,
16/03/2017,,Post Malone,,Stoney,,2016,,https://music.yandex.ru/album/3969848,,,8.7,
17/03/2017,,A Tribe Called Quest,,Midnight Marauders,,1993,,https://music.yandex.ru/album/70632,,,8,
18/03/2017,,Jamiroquai,,Travelling Without Moving,,1996,,https://music.yandex.ru/album/1011818,,,8,
19/03/2017,,Rhodes,,Home - EP,,2015,,https://music.yandex.ru/album/2659119,,,8,
20/03/2017,,Rhodes,,Wishes,,2015,,https://music.yandex.ru/album/2953504,,,9,
21/03/2017,,The Avalanches,,Wildflower,,2016,,https://music.yandex.ru/album/3595757,,,7.5,
22/03/2017,,Seafret,,Tell Me It's Real,,2016,,https://music.yandex.ru/album/3186842,,,9.5,
23/03/2017,,Matt Corby,,Telluric,,2016,,https://music.yandex.ru/album/3324887,,,9,
24/03/2017,,Todd Terje,,It's Album Time,,2014,,http://pitchfork.com/reviews/albums/19148-todd-terje-its-album-time/,,,8,
25/03/2017,,Maroon 5,,It Won't Be Soon Before Long,,2008,,https://music.yandex.ru/album/2494415,,,8.5,
26/03/2017,,Maroon 5,,Songs About Jane,,2002,,https://music.yandex.ru/album/5317,,,8.5,
27/03/2017,,Daniel Shake,,Loosen Me Up,,2016,,https://music.yandex.ru/album/3975963,,,7,
28/03/2017,,Lady Gaga,,The Fame Monster ,,2009,,https://music.yandex.ru/album/10811,,,7,
29/03/2017,,Lorde,,Pure Heroine,,2013,,https://music.yandex.ru/album/1726023,,,"8,7",
30/03/2017,, Ellie Goulding,,Lights,,2010,,https://music.yandex.ru/album/59554,,,6,
31/03/2017,,Alex Clare,,Tail of Lions,,2016,,https://music.yandex.ru/album/3924338,,,8,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,https://www.nytimes.com/interactive/2017/03/09/magazine/25-songs-that-tell-us-where-music-is-going.html?_r=0#/adele-send-my-love-to-your-new-lover,,,,,,,,,,
