Date,Who,What,Year,Link,Best,Score (1-10),,
01/10/2017,P!nk,Beautiful Trauma,2017,https://music.yandex.ru/album/4734218,,7.8,,
02/10/2017,Beck,Colors,2017,https://music.yandex.ru/album/4735358,,8.6,,
03/10/2017,St. Vincent,MASSEDUCTION,2017,https://music.yandex.ru/album/4738993,,9.8,,прекрасно. волшебно!
04/10/2017,Morgan Saint,17 HERO,2017,https://music.yandex.ru/album/4740687,,7.7,,
05/10/2017,The Strokes,First Impressions Of Earth,2006,https://music.yandex.ru/album/3442350,,8.9,,
06/10/2017,The Strokes,Is This It,2001,https://music.yandex.ru/album/71568,,8,,
07/10/2017,The Strokes,Comedown Machine,2013,https://music.yandex.ru/album/1075086,,9,,
08/10/2017,Julian Casablancas,Phrazes For The Young,2009,https://music.yandex.ru/album/74869,,"8,4",,
09/10/2017,Maroon 5,Red Pill Blues,2017,https://music.yandex.ru/album/4794799,,"8,1",,
10/10/2017,Sam Smith,The Thrill Of It All,2017,https://music.yandex.ru/album/4795415,,9,,
11/10/2017,Majid Jordan,The Space Between,2017,https://music.yandex.ru/album/4776201,,"7,5",,
12/10/2017,Alvvays,Alvvays,2014,https://alvvays.bandcamp.com/album/alvvays,,9,,
13/10/2017,Róisín Murphy,Overpowered,2007,https://music.yandex.ru/album/52495/,,9.1,,
