Date,Who,What,Year,Link,Best,Score (1-10),,,,,
,,,,,,,,,,,
01/09/2017,Princess Nokia,1992 Deluxe,2017,https://music.yandex.ru/album/4657698,,5.3,,,,,
02/09/2017,Xxxtentacion,17,2017,https://music.yandex.ru/album/4638262,,8.1,внезапно неплохо,,,,
03/09/2017,Leon Russell,On a Distant Shore,2017,https://music.yandex.ru/album/4575331,,6,"невероятно попсовый блюз, даже не знаю",,,,
04/09/2017,The War On Drugs,A Deeper Understanding,2017,https://music.yandex.ru/album/4626163,,"7,9","грустно, долго, но красиво",,,,
05/09/2017,Elli Ingram,Love You Really,2017,https://music.yandex.ru/album/4673540,,8,stone cold,,,,
06/09/2017,The Rolling Stones,Their Satanic Majesties Request. 50th Anniversary Special Edition. ,1967,https://music.yandex.ru/album/4691564,,"8,5",какая-то дикая психоделика,,где мое ай кэн гет ноу сатисфакшн,"окей, she's a rainbow хороша","ой, а дальше они разыгрались, пошло хорошо"
07/09/2017,Kamasi Washingtom,Harmony of Defference EP,2017,https://music.yandex.ru/album/4689187,,9.9,,,,,
08/09/2017,Hurts,Desire,2017,https://music.yandex.ru/album/4708179,,"8,6",Chaperone - ооооочень милая,"Boyfriend - такой Принс, ващеее",,Spotlights - Роби Уильямс?,"Внезапно поставлю высокую оценку, хоть и много треков-близнецов, но поп оченькачественный"
09/09/2017,Miley Cyrus,Younger Now,2017,https://music.yandex.ru/album/4702968,,7,"поймала себя на мысли, что треки какие-то долгие и тягучие, через минуты 2 уже надоедает",скучновато,,,
10/09/2017,Ibeyi,Ash,2017,https://music.yandex.ru/album/4692739,,"8,7",very gooooood girls,,,,
11/09/2017,Jamie Lawson,Happy Accidents,2017,https://music.yandex.ru/album/4686595,,7.7,очень сладко очень мило очень романтично,,,,
12/09/2017,Benjamin Clementine,I Tell A Fly,2017,https://music.yandex.ru/album/4705858,,"8,2",некоторые песни как саундтреки к советским фильмам 1980-х,clair de lune!,мрачновато,но интересно,
13/09/2017,Badbadnotgood,IV,2016,https://music.yandex.ru/album/3893429,,"9,7",,,,,
14/09/2017,Badbadnotgood,III,2014,https://music.yandex.ru/album/3891796,,"9,5",,,,,
15/09/2017,Bad Sounds,Mixtape One,2017,https://music.yandex.ru/album/4674669,,8,,,,,
16/09/2017,Hus,Kakkmaddafakka,2017,https://music.yandex.ru/album/4680205,,"8,3","приятный, неиного ординарный, но милый альбом",,,,
17/09/2017,Liam Gallagher,As You Were,2017,https://music.yandex.ru/album/4710190,,"7,8",,,,,
18/09/2017,TOKiMONSTA,Lune Rouge,2017,https://music.yandex.ru/album/4575809,,7.3,,,,,
19/09/2017,New Politics,Lost in Translation,2017,https://music.yandex.ru/album/4704816,,8.5,,,,,
20/09/2017,Kele Okereke,Fatherland,2017,https://music.yandex.ru/album/4708660,,8.5,,,,,
21/09/2017,JP Cooper,Raised Under Grey,2017,https://music.yandex.ru/album/4719563,,8,,,,,
22/09/2017,Rationale,Rationale,2017,https://music.yandex.ru/album/4700202,,"9,8","очень хорошо, просто прекрасно",,,,
23/09/2017,Jacob Sartorius,Left Me Hangin',2017,https://music.yandex.ru/album/4718580,,"7,5",плюсы за микс 7days от старины Крейга ,,,,
24/09/2017,Alex Hahn,Emerging,2017,https://music.yandex.ru/album/4631742,,8,,,,,
25/09/2017,Tony Allen,The Source,2017,https://music.yandex.ru/album/4659308,,0,,,,,
26/09/2017,The National,Sleep Well Beast,2017,https://music.yandex.ru/album/4657941,,8,мрачная красота,,,,
27/09/2017,dePresno,The Last of the Romantics EP,2017,https://music.yandex.ru/album/4701765,,7,слабовато,,,,
28/09/2017,dePresno,Forever,2016,https://music.yandex.ru/album/3817957,,"7,8","лучше, чем альбом позднее",,,,
29/09/2017,Shekhinah,Rose Gold,2017,https://music.yandex.ru/album/4693078,,"7,9",,,,,
30/09/2017,SG Lewis,Yours - EP,2016,https://music.yandex.ru/album/3724314,,7,,,,,
